번호,notice_id,제목,원문 링크,document_sha256,정답_상태(known/no_limit/unknown),"정답_허용업종(원문 표현, ; 로 구분)","정답_제외업종(원문 표현, ; 로 구분)",정답_목록완전(Y/N/모름),메모
1,bizinfo:PBLN_000000000116998,[경북] 2026년 소상공인육성자금(경북버팀금융) 이차보전 지원 계획 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116998,2d0e840afd0798579ed1d6274559f3d2d616590c314e52b2e99b7373d025e8f7,,,,,
2,bizinfo:PBLN_000000000117330,2026년 직무발명제도 규정 도입 여부 확인 신청 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117330,4ed7346ff37aa18ed48a7c8e1647de88105c5e8e5f56a4e7afad7635ac04f0fb,,,,,
3,bizinfo:PBLN_000000000117568,[충북] 2026년 일하는 기쁨 청년ㆍ여성 일자리 지원사업 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117568,c8c5beffc3942b8ab3274a5f7051c4421c78f65c1591086c7729c5f2df343072,,,,,
4,bizinfo:PBLN_000000000117600,[강원] 태백시 2026년 중소기업육성자금 지원 사업 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117600,fbcfd26fad4cb76912a57fcaf6387fa027dbcc9e887e65f30d549ab714f4e158,,,,,
5,bizinfo:PBLN_000000000117666,[인천] 2026년 새일여성인턴 참여 기업 모집 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117666,9845b4e56219e7302f62ed25d6df729e32e1499459ecc17642c4123290b4f9e2,,,,,
6,bizinfo:PBLN_000000000117972,[대전] 중구 2026년 소상공인 특례보증 지원사업 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117972,d067cf5130c0e60115e347158d4df55c3c0c89f7a457272dc1406fceca757238,,,,,
7,bizinfo:PBLN_000000000119026,2026년 연구실 안전관리 컨설팅 지원사업 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119026,b483d04a5c1bb8b13ad2b3be6980ebcae78ea7ede86c41246ad74ba44fca3b48,,,,,
8,bizinfo:PBLN_000000000120031,[경기] 안산시 2026년 청년큐브 1:1 창업멘토링 지원 참여기업 모집 공고(청년창업인큐베이팅사업),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120031,54a981def45fdadf37b85febbbb9dd0ac0c16013de0418bb17ba471831960a1e,,,,,
9,bizinfo:PBLN_000000000122801,2026년 수출기업 맞춤형 조사 지원사업 추가 모집 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122801,247b52fb76f1c8f510b0bb0630433206a95675fa0ebd803dd97d273420188f28,,,,,
10,bizinfo:PBLN_000000000123905,[충북] 2026년 기술닥터 기업애로상담 프로그램 수요기업 모집 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123905,8e56194206c67d422fc1a3fdb39f7c1ab82d66def242fd0bbe36face22be07b0,,,,,
11,bizinfo:PBLN_000000000124849,[부산] 2026년 원부자재 공동구매 지원사업 신청기업 모집 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124849,23ba20b1eeece91da2fa7125fb9c9139d130a1731be37a9b4d5003c9b96d07ba,,,,,
12,bizinfo:PBLN_000000000125621,[대구] 2026년 기업 성장단계별 맞춤형 기술 지원사업 (Track-1) 과제 기업 모집 공고(대구형 R&D 전주기 지원체계 구축),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125621,627b49c4248a774094d81738603e09bd07e315d61eb472b0f722529b61f72174,,,,,
13,bizinfo:PBLN_000000000125665,2026년 일터혁신 우수기업 선정계획 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125665,ce5ad5b64e87cb5357711e545307f4c901f38269373a7eb1d0569987e07b9106,,,,,
14,bizinfo:PBLN_000000000125687,[경북] 안동시 2026년 수출기업 역량강화 지원사업 참여기업 모집 연장 공고(수출매뉴얼 지원),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125687,e6ec46239b73c3ebaf6cd800c71aea7917548263331ef80426d2019f33a86a99,,,,,
15,bizinfo:PBLN_000000000125723,[부산] 2027년 전통시장 및 상점가 등 시설현대화사업 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125723,81ee08d1784f06d023cf16da5f27a1cb4a03314ec7dc864d0fc88ea94d44ba4c,,,,,
16,bizinfo:PBLN_000000000125978,중소제조 특화 Multi AI Agent 개발(R&D) 점프업 Track 시행계획 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125978,5af616d43592910f6c5b175edfdcc8ff2855777befc2eb0669ea13580748e2c8,,,,,
17,bizinfo:PBLN_000000000126157,[충남] 2026년 정보보호 우수사례 지원사업 수혜기업 추가 모집 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126157,89d6d8f4234aaea30a27d1be482e3107111ad353d4d3cb7733d49e8bd7af56fe,,,,,
18,bizinfo:PBLN_000000000126183,[인천] 강화군 소상공인 경영안정지원금 지급사업 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126183,875053494f85b51ef3335e1e26c7cacaa269645af76092db92333f89aa17ec70,,,,,
19,bizinfo:PBLN_000000000126296,[제주] 서귀포시 2026년 소상공인 출산급여 지원사업 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126296,ad560a2dca2aaa96dbf331c7a3a84cc0248d4c0b259f22ce8f594188c4798c78,,,,,
20,bizinfo:PBLN_000000000126362,[충북] 2026년 2차 미취업청년 취업연계 일경험 지원사업 참여기업 모집 연장 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126362,a672ca153dc9452cfa69f195ac574196003d999595489786bdfcc3a818e3a59d,,,,,
21,bizinfo:PBLN_000000000126368,[전남광주] 2026년 2차 국방기술진흥연구소 전남국방벤처센터 협약기업 모집 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126368,668472b827ebde1d199477cd9ef1d36eceb90581eb5d1ca82b01c68d1441eecd,,,,,
22,bizinfo:PBLN_000000000126402,[충북] 2026년 가족친화 우수기업 공모전 참여기업 모집 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126402,6edf9c23d440eac31875ced4c9e5dc803672cedd77d0e42073ca0c1ebf1277d7,,,,,
23,bizinfo:PBLN_000000000126403,[충북] 청주시 2026년 중소기업 홍보물 제작 지원 사업 모집 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126403,bc2118e86d5fab39707f9f2cfa2677fab94c2a45497980a03c26791618001463,,,,,
24,bizinfo:PBLN_000000000126470,[충남ㆍ전남광주] 2026년 2차 인공지능 맞춤형 뷰티기기 고도화 글로벌화 지원 품질경영시스템(ISO 9001) 인증 획득 지원 참여기업 모집 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126470,b2df96a71f92f18ea6bcda34c9a04e2acbb640a5074f651b324e19e6916c2b73,,,,,
25,bizinfo:PBLN_000000000126488,2026년 10월 진주시 단체관광객 유치 인센티브 지원계획 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126488,3379c436b3bc391a9f572fd8f7b2c663c49424e5e05fe477c2e7deaeb5a08f15,,,,,
26,bizinfo:PBLN_000000000126497,2026년 성장단계별 우수 연구소기업(라이징스타ㆍ스타) 지정 신청 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126497,baf6ce91bc9f1e285b454919376315eb8f6b4ac766ce576fa43bdd7612f1c73b,,,,,
27,kstartup:179125,성남 기후테크 UpSkill 아카데미 Vol.2 - 비즈니스모델 개발과 기술사업화,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=179125,b3968516371086703e4dd05b8664793556ba8fe99caf0ab0700ee30c7194631d,,,,,
28,kstartup:179172,2026년 안산정보산업진흥센터(경기TP안산창업보육센터) 제3차 신규 입주자 모집 공고,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=179172,c7af7210d7008b473b140136807748df49d55ac289367d3f8c9be3dabe1be08b,,,,,
29,kstartup:179245,2026 정주영 창업경진대회: 무한(INFINITE),https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=179245,76cd96cbda0af31ee9e5ffbb450dcf10f468c043adc3e7c04db7b78c6cb26ab0,,,,,
30,kstartup:179297,2026 중장년기술창업센터 제3차 신규 입주기업 모집,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=179297,9af40a24a5c0226c510c42acb099f6237beb12c3968087c269036e58d8e889b7,,,,,
